Bedrooms,Bathrooms,AreaSqFt,PricePerSqFt,PropertyType,Neighborhood,SoldPrice,Address
2.0,2.0,1129.0,620.0177147918512,CONDOS,San Francisco,700000,"155 Harriet St Ste 8, San Francisco, CA, 94103"
2.0,1.0,780.0,612.8205128205128,CONDOS,San Francisco,478000,"1400 Mission St Apt 1400, San Francisco, CA, 94103"
4.0,2.0,2800.0,982.1428571428571,MULTI_FAMILY,San Francisco,2750000,"41-43 Mallorca Way, San Francisco, CA, 94123"
1.0,2.0,880.0,1103.9772727272727,CONDO,San Francisco,971500,"1800 Bryant St Apt 314, San Francisco, CA, 94110"
2.0,2.0,1538.0,1072.8218465539662,SINGLE_FAMILY,San Francisco,1650000,"401 28th St, San Francisco, CA, 94131"
1.0,1.0,749.0,1034.7129506008012,CONDOS,San Francisco,775000,"35 Dolores St Apt 204, San Francisco, CA, 94103"
1.0,2.0,1041.0,1046.8780019212295,CONDOS,San Francisco,1089800,"1970 Sutter St Apt 107, San Francisco, CA, 94115"
3.0,2.0,2025.0,580.2469135802469,SINGLE_FAMILY,San Francisco,1175000,"1601 Newhall St, San Francisco, CA, 94124"
2.0,2.0,1403.0,805.4169636493228,CONDOS,San Francisco,1130000,"1483 Sutter St Unit 1207, San Francisco, CA, 94109"
4.0,3.0,2358.0,1272.264631043257,SINGLE_FAMILY,San Francisco,3000000,"2655 15th Ave, San Francisco, CA, 94127"
1.0,1.0,462.0,1378.7878787878788,CONDOS,San Francisco,637000,"382 Green St Apt 3, San Francisco, CA, 94133"
3.0,2.0,1538.0,2405.7217165149546,CONDOS,San Francisco,3700000,"1336 Chestnut St, San Francisco, CA, 94123"
1.0,1.0,1538.0,392.0676202860858,CONDOS,San Francisco,603000,"250 King St Unit 536, San Francisco, CA, 94107"
3.0,3.0,1538.0,2473.9921976592977,SINGLE_FAMILY,San Francisco,3805000,"3325 Pierce St, San Francisco, CA, 94123"
3.0,1.0,1695.0,635.9882005899705,CONDOS,San Francisco,1078000,"3343 22nd St, San Francisco, CA, 94110"
1.0,1.0,1020.0,1078.4313725490197,CONDOS,San Francisco,1100000,"3675 Fillmore St Apt 202, San Francisco, CA, 94123"
2.0,2.0,1276.0,854.2319749216301,CONDOS,San Francisco,1090000,"1408 31st Ave Apt 305, San Francisco, CA, 94122"
1.0,1.0,775.0,1039.76,SINGLE_FAMILY,San Francisco,805814,"1600 Anza St, San Francisco, CA, 94118"
29.0,2.0,17755.0,473.10616727682344,MULTI_FAMILY,San Francisco,8400000,"3770 24th St, San Francisco, CA, 94114"
2.0,1.0,1350.0,844.4444444444445,CONDOS,San Francisco,1140000,"884 York St, San Francisco, CA, 94110"
5.0,4.0,1791.0,1032.9424902289225,MULTI_FAMILY,San Francisco,1850000,"200 Cayuga Ave, San Francisco, CA, 94112"
5.0,5.0,3620.0,752.7624309392265,MULTI_FAMILY,San Francisco,2725000,"1719-1721 Lyon St, San Francisco, CA, 94115"
4.0,1.0,2300.0,934.7826086956521,SINGLE_FAMILY,San Francisco,2150000,"126 Cole St, San Francisco, CA, 94117"
3.0,3.0,2489.0,1305.7452792286058,CONDOS,San Francisco,3250000,"2736 Bush St, San Francisco, CA, 94115"
2.0,2.0,1500.0,626.6666666666666,CONDOS,San Francisco,940000,"1200 Gough St Unit 3A, San Francisco, CA, 94109"
3.0,1.0,1490.0,610.738255033557,SINGLE_FAMILY,San Francisco,910000,"3118 Rivera St, San Francisco, CA, 94116"
5.0,2.0,2226.0,821.2039532794249,MULTI_FAMILY,San Francisco,1828000,"2033-2035 Clement St, San Francisco, CA, 94121"
4.0,2.0,1187.0,994.1027801179443,SINGLE_FAMILY,San Francisco,1180000,"2640 Alemany Blvd, San Francisco, CA, 94112"
1.0,1.0,3181.0,392.9581892486639,CONDOS,San Francisco,1250000,"745 Clementina St Unit A, San Francisco, CA, 94103"
3.0,2.0,1329.0,1260.3461249059444,CONDOS,San Francisco,1675000,"25 Sierra St Apt E302, San Francisco, CA, 94107"
2.0,1.0,1237.0,869.0379951495554,SINGLE_FAMILY,San Francisco,1075000,"41 Ridgewood Ave, San Francisco, CA, 94112"
1.0,1.0,669.0,878.9237668161435,CONDOS,San Francisco,588000,"8400 Oceanview Ter Apt 210, San Francisco, CA, 94132"
1.0,1.0,645.0,930.2325581395348,CONDOS,San Francisco,600000,"1177 California St Apt 1704, San Francisco, CA, 94108"
3.0,2.0,1575.0,1400.0,SINGLE_FAMILY,San Francisco,2205000,"280 Andover St, San Francisco, CA, 94110"
3.0,2.0,2850.0,1280.701754385965,SINGLE_FAMILY,San Francisco,3650000,"3720 Webster St, San Francisco, CA, 94123"
1.0,1.0,863.0,753.1865585168018,SINGLE_FAMILY,San Francisco,650000,"1915 Laguna St Apt 4, San Francisco, CA, 94115"
2.0,1.0,1590.0,808.1761006289308,SINGLE_FAMILY,San Francisco,1285000,"980 Holloway Ave, San Francisco, CA, 94132"
4.0,4.0,3170.0,1388.01261829653,SINGLE_FAMILY,San Francisco,4400000,"1 McCormick St, San Francisco, CA, 94109"
3.0,2.0,1810.0,1059.3922651933701,SINGLE_FAMILY,San Francisco,1917500,"417 Teresita Blvd, San Francisco, CA, 94127"
3.0,3.0,1819.0,797.1412864211105,SINGLE_FAMILY,San Francisco,1450000,"714 London St, San Francisco, CA, 94112"
2.0,1.0,1155.0,606.060606060606,CONDOS,San Francisco,700000,"637 Powell St Apt 401, San Francisco, CA, 94108"
3.0,1.0,1212.0,1113.8613861386139,CONDOS,San Francisco,1350000,"209 18th Ave, San Francisco, CA, 94121"
4.0,4.0,1950.0,666.6666666666666,MULTI_FAMILY,San Francisco,1300000,"79-81 Homestead St, San Francisco, CA, 94114"
2.0,2.0,1538.0,861.5084525357607,CONDOS,San Francisco,1325000,"201 Sansome St Unit 1004, San Francisco, CA, 94104"
1.0,1.0,1250.0,1052.0,CONDOS,San Francisco,1315000,"1250 Jones St Unit 503, San Francisco, CA, 94109"
4.0,4.0,3675.0,1306.1224489795918,SINGLE_FAMILY,San Francisco,4800000,"1625 Vallejo St, San Francisco, CA, 94123"
2.0,1.0,1151.0,1068.6359687228496,CONDOS,San Francisco,1230000,"2169 Folsom St Apt M201, San Francisco, CA, 94110"
1.0,1.0,1110.0,756.7567567567568,CONDOS,San Francisco,840000,"999 16th St Apt 10, San Francisco, CA, 94107"
2.0,2.0,856.0,1290.8878504672898,CONDOS,San Francisco,1105000,"579 6th Ave Apt 202, San Francisco, CA, 94118"
2.0,1.0,1309.0,1073.3384262796028,CONDOS,San Francisco,1405000,"678 Page St, San Francisco, CA, 94117"
1.0,1.0,888.0,878.3783783783783,CONDOS,San Francisco,780000,"56 Guy Pl, San Francisco, CA, 94105"
1.0,1.0,1538.0,533.1599479843953,SINGLE_FAMILY,San Francisco,820000,"1181 Alabama St, San Francisco, CA, 94110"
2.0,1.0,800.0,1687.5,SINGLE_FAMILY,San Francisco,1350000,"569 Peralta Ave, San Francisco, CA, 94110"
3.0,3.0,1470.0,1003.4013605442177,CONDOS,San Francisco,1475000,"710 Arguello Blvd, San Francisco, CA, 94118"
4.0,3.0,2580.0,753.8759689922481,CONDOS,San Francisco,1945000,"1125 Leavenworth St, San Francisco, CA, 94109"
3.0,3.0,2368.0,1182.4324324324325,SINGLE_FAMILY,San Francisco,2800000,"331 Vicente St, San Francisco, CA, 94127"
2.0,2.0,1538.0,991.5474642392718,SINGLE_FAMILY,San Francisco,1525000,"115 28th St, San Francisco, CA, 94131"
1.0,1.0,766.0,913.8381201044386,CONDOS,San Francisco,700000,"72 Townsend St Unit 301, San Francisco, CA, 94107"
1.0,1.0,713.0,1224.4039270687238,CONDOS,San Francisco,873000,"1688 Pine St Unit W1203, San Francisco, CA, 94109"
4.0,2.0,1700.0,823.5294117647059,SINGLE_FAMILY,San Francisco,1400000,"419 Garfield St, San Francisco, CA, 94132"
2.0,1.0,1183.0,718.5122569737954,SINGLE_FAMILY,San Francisco,850000,"15 Venus St, San Francisco, CA, 94124"
3.0,2.0,1102.0,757.7132486388384,CONDOS,San Francisco,835000,"66 Cleary Ct Apt 603, San Francisco, CA, 94109"
2.0,1.0,840.0,654.7619047619048,CONDOS,San Francisco,550000,"1930 Mission St Unit 8, San Francisco, CA, 94103"
4.0,2.0,2196.0,892.0255009107468,SINGLE_FAMILY,San Francisco,1958888,"791 26th Ave, San Francisco, CA, 94121"
2.0,1.0,1880.0,851.063829787234,SINGLE_FAMILY,San Francisco,1600000,"511 47th Ave, San Francisco, CA, 94121"
2.0,2.0,1235.0,939.2712550607288,CONDOS,San Francisco,1160000,"235 Berry St Apt 307, San Francisco, CA, 94158"
2.0,2.0,1132.0,1082.155477031802,CONDOS,San Francisco,1225000,"1545 Pine St Apt 1107, San Francisco, CA, 94109"
2.0,1.0,929.0,1022.6049515608181,CONDOS,San Francisco,950000,"4107 Folsom St Unit A, San Francisco, CA, 94110"
4.0,4.0,1538.0,1989.5968790637191,MULTI_FAMILY,San Francisco,3060000,"1632 N Point St, San Francisco, CA, 94123"
1.0,1.0,1000.0,815.0,CONDOS,San Francisco,815000,"300 3rd St Apt 311, San Francisco, CA, 94107"
2.0,2.0,1025.0,1146.341463414634,CONDOS,San Francisco,1175000,"8 Buchanan St Unit 505, San Francisco, CA, 94102"
4.0,4.0,3050.0,852.4590163934427,MULTI_FAMILY,San Francisco,2600000,"431-433 Broderick St, San Francisco, CA, 94117"
3.0,1.0,1100.0,850.0,SINGLE_FAMILY,San Francisco,935000,"715 Naples St, San Francisco, CA, 94112"
2.0,2.0,1215.0,1111.111111111111,CONDOS,San Francisco,1350000,"2060 Sutter St Apt 405, San Francisco, CA, 94115"
5.0,2.0,2100.0,857.1428571428571,SINGLE_FAMILY,San Francisco,1800000,"2150 Ulloa St, San Francisco, CA, 94116"
4.0,2.0,2900.0,413.7931034482759,SINGLE_FAMILY,San Francisco,1200000,"146 Ralston St, San Francisco, CA, 94132"
3.0,2.0,1364.0,769.7947214076246,SINGLE_FAMILY,San Francisco,1050000,"2228 45th Ave, San Francisco, CA, 94116"
5.0,3.0,2760.0,742.7536231884058,MULTI_FAMILY,San Francisco,2050000,"64-66 Woodland Ave, San Francisco, CA, 94117"
3.0,2.0,1800.0,1416.6666666666667,CONDOS,San Francisco,2550000,"1870 Jackson St Apt 603, San Francisco, CA, 94109"
6.0,2.0,3189.0,501.7246785826278,MULTI_FAMILY,San Francisco,1600000,"720 Ashbury St, San Francisco, CA, 94117"
5.0,6.0,3878.0,709.1284167096442,MULTI_FAMILY,San Francisco,2750000,"2826-2828 Cabrillo St, San Francisco, CA, 94121"
2.0,2.0,1385.0,1234.6570397111914,SINGLE_FAMILY,San Francisco,1710000,"53 Elsie St, San Francisco, CA, 94110"
2.0,1.0,1382.0,722.8654124457308,CONDOS,San Francisco,999000,"1483 Guerrero St, San Francisco, CA, 94110"
5.0,4.0,4411.0,1360.2357742008614,SINGLE_FAMILY,San Francisco,6000000,"2655 Steiner St, San Francisco, CA, 94115"
3.0,2.0,1420.0,1158.4507042253522,CONDOS,San Francisco,1645000,"2177 3rd St Unit 321, San Francisco, CA, 94107"
5.0,3.0,2046.0,661.2903225806451,SINGLE_FAMILY,San Francisco,1353000,"163 Lee Ave, San Francisco, CA, 94112"
2.0,2.0,1043.0,910.8341323106424,CONDOS,San Francisco,950000,"2027 Market St Apt 7, San Francisco, CA, 94114"
3.0,2.0,1678.0,1087.6042908224076,SINGLE_FAMILY,San Francisco,1825000,"129 Meadowbrook Dr, San Francisco, CA, 94132"
2.0,1.0,750.0,1000.0,SINGLE_FAMILY,San Francisco,750000,"144 Marietta Dr, San Francisco, CA, 94127"
4.0,2.0,1705.0,1002.932551319648,SINGLE_FAMILY,San Francisco,1710000,"1855 33rd Ave, San Francisco, CA, 94122"
2.0,2.0,1398.0,1362.6609442060085,CONDOS,San Francisco,1905000,"2244 Greenwich St, San Francisco, CA, 94123"
2.0,2.0,1147.0,1083.2606800348735,CONDOS,San Francisco,1242500,"338 Spear St Unit 16E, San Francisco, CA, 94105"
4.0,2.0,2900.0,502.0689655172414,MULTI_FAMILY,San Francisco,1456000,"1632-1634 Anza St, San Francisco, CA, 94118"
3.0,2.0,1650.0,983.8636363636364,CONDOS,San Francisco,1623375,"3044 Franklin St Apt 302, San Francisco, CA, 94123"
0.0,1.0,4800.0,111.45833333333333,SINGLE_FAMILY,San Francisco,535000,"1932 Fell St Apt 1, San Francisco, CA, 94117"
1.0,1.0,801.0,811.4856429463171,CONDOS,San Francisco,650000,"1483 Sutter St Unit 401, San Francisco, CA, 94109"
2.0,2.0,1359.0,997.0566593083149,CONDOS,San Francisco,1355000,"2195 Green St Apt 2, San Francisco, CA, 94123"
3.0,16.0,14444.0,329.89476599279976,OTHER,San Francisco,4765000,"2021 California St, San Francisco, CA, 94109"
3.0,3.0,2140.0,794.392523364486,SINGLE_FAMILY,San Francisco,1700000,"8 Milton St, San Francisco, CA, 94112"
3.0,8.0,6044.0,290.3706154864328,OTHER,San Francisco,1755000,"5625 Mission St, San Francisco, CA, 94112"
3.0,2.0,1549.0,1442.8663653970304,CONDOS,San Francisco,2235000,"765 Page St, San Francisco, CA, 94117"
1.0,2.0,835.0,1737.8443113772455,SINGLE_FAMILY,San Francisco,1451100,"32 Mars St, San Francisco, CA, 94114"
3.0,3.0,1855.0,781.6711590296496,CONDO,San Francisco,1450000,"1117 Judah St # B, San Francisco, CA, 94122"
4.0,1.0,840.0,714.2857142857143,SINGLE_FAMILY,San Francisco,600000,"1475 Shafter Ave, San Francisco, CA, 94124"
2.0,2.0,1158.0,777.2020725388601,CONDOS,San Francisco,900000,"2421 16th St Unit 402, San Francisco, CA, 94103"
3.0,1.0,1534.0,912.6466753585397,SINGLE_FAMILY,San Francisco,1400000,"262 Byxbee St, San Francisco, CA, 94132"
2.0,1.0,1300.0,642.3076923076923,SINGLE_FAMILY,San Francisco,835000,"77 Ottawa Ave, San Francisco, CA, 94112"
3.0,2.0,1460.0,681.5068493150685,CONDOS,San Francisco,995000,"2790 19th Ave Unit 21, San Francisco, CA, 94132"
3.0,1.0,1003.0,1121.6350947158523,CONDOS,San Francisco,1125000,"1916 Mason St, San Francisco, CA, 94133"
3.0,3.0,1663.0,1352.9765484064942,CONDOS,San Francisco,2250000,"318 Duncan St Apt 1, San Francisco, CA, 94131"
3.0,1.0,1451.0,1178.4975878704342,CONDOS,San Francisco,1710000,"65 Cumberland St, San Francisco, CA, 94110"
2.0,2.0,1283.0,1176.9290724863602,SINGLE_FAMILY,San Francisco,1510000,"339 Jersey St, San Francisco, CA, 94114"
3.0,1.0,1158.0,820.3799654576857,SINGLE_FAMILY,San Francisco,950000,"227 Arleta Ave, San Francisco, CA, 94134"
4.0,3.0,4315.0,2201.62224797219,SINGLE_FAMILY,San Francisco,9500000,"2500 Pacific Ave, San Francisco, CA, 94115"
2.0,1.0,915.0,1202.1857923497269,CONDOS,San Francisco,1100000,"55 Norwich St, San Francisco, CA, 94110"
1.0,1.0,1538.0,581.924577373212,CONDO,San Francisco,895000,"4606 18th St, San Francisco, CA, 94114"
4.0,2.0,2250.0,766.6666666666666,MULTI_FAMILY,San Francisco,1725000,"1414-1416 36th Ave, San Francisco, CA, 94122"
1.0,1.0,614.0,975.57003257329,CONDOS,San Francisco,599000,"960 Market St Unit 201, San Francisco, CA, 94102"
1.0,1.0,1538.0,698.3094928478544,CONDOS,San Francisco,1074000,"153 Lower Ter, San Francisco, CA, 94114"
5.0,4.0,2082.0,701.2487992315082,SINGLE_FAMILY,San Francisco,1460000,"1959 19th Ave, San Francisco, CA, 94116"
6.0,7.0,4800.0,291.6666666666667,OTHER,San Francisco,1400000,"66 Landers St, San Francisco, CA, 94114"
