Address,SoldPrice,Bedrooms,Bathrooms,AreaSqFt,PropertyType,Neighborhood
"1545 Pine St Apt 1107, San Francisco, CA, 94109",1225000,2.0,2.0,1132.0,CONDOS,San Francisco
"4107 Folsom St Unit A, San Francisco, CA, 94110",950000,2.0,1.0,929.0,CONDOS,San Francisco
"1632 N Point St, San Francisco, CA, 94123",3060000,4.0,4.0,,MULTI_FAMILY,San Francisco
"300 3rd St Apt 311, San Francisco, CA, 94107",815000,1.0,1.0,1000.0,CONDOS,San Francisco
"8 Buchanan St Unit 505, San Francisco, CA, 94102",1175000,2.0,2.0,1025.0,CONDOS,San Francisco
"431-433 Broderick St, San Francisco, CA, 94117",2600000,4.0,4.0,3050.0,MULTI_FAMILY,San Francisco
"715 Naples St, San Francisco, CA, 94112",935000,3.0,1.0,1100.0,SINGLE_FAMILY,San Francisco
"2060 Sutter St Apt 405, San Francisco, CA, 94115",1350000,2.0,2.0,1215.0,CONDOS,San Francisco
"2150 Ulloa St, San Francisco, CA, 94116",1800000,5.0,2.0,2100.0,SINGLE_FAMILY,San Francisco
"146 Ralston St, San Francisco, CA, 94132",1200000,4.0,2.0,2900.0,SINGLE_FAMILY,San Francisco
"2228 45th Ave, San Francisco, CA, 94116",1050000,3.0,2.0,1364.0,SINGLE_FAMILY,San Francisco
"64-66 Woodland Ave, San Francisco, CA, 94117",2050000,5.0,3.0,2760.0,MULTI_FAMILY,San Francisco
"1870 Jackson St Apt 603, San Francisco, CA, 94109",2550000,3.0,2.0,1800.0,CONDOS,San Francisco
"720 Ashbury St, San Francisco, CA, 94117",1600000,6.0,,3189.0,MULTI_FAMILY,San Francisco
"2826-2828 Cabrillo St, San Francisco, CA, 94121",2750000,5.0,6.0,3878.0,MULTI_FAMILY,San Francisco
"53 Elsie St, San Francisco, CA, 94110",1710000,2.0,2.0,1385.0,SINGLE_FAMILY,San Francisco
"1483 Guerrero St, San Francisco, CA, 94110",999000,2.0,1.0,1382.0,CONDOS,San Francisco
"2655 Steiner St, San Francisco, CA, 94115",6000000,5.0,4.0,4411.0,SINGLE_FAMILY,San Francisco
"2177 3rd St Unit 321, San Francisco, CA, 94107",1645000,3.0,2.0,1420.0,CONDOS,San Francisco
"163 Lee Ave, San Francisco, CA, 94112",1353000,5.0,3.0,2046.0,SINGLE_FAMILY,San Francisco
"2027 Market St Apt 7, San Francisco, CA, 94114",950000,2.0,2.0,1043.0,CONDOS,San Francisco
"129 Meadowbrook Dr, San Francisco, CA, 94132",1825000,3.0,2.0,1678.0,SINGLE_FAMILY,San Francisco
"144 Marietta Dr, San Francisco, CA, 94127",750000,2.0,1.0,750.0,SINGLE_FAMILY,San Francisco
"1855 33rd Ave, San Francisco, CA, 94122",1710000,4.0,2.0,1705.0,SINGLE_FAMILY,San Francisco
"2244 Greenwich St, San Francisco, CA, 94123",1905000,2.0,2.0,1398.0,CONDOS,San Francisco
"338 Spear St Unit 16E, San Francisco, CA, 94105",1242500,2.0,2.0,1147.0,CONDOS,San Francisco
"1632-1634 Anza St, San Francisco, CA, 94118",1456000,4.0,2.0,2900.0,MULTI_FAMILY,San Francisco
"3044 Franklin St Apt 302, San Francisco, CA, 94123",1623375,3.0,2.0,1650.0,CONDOS,San Francisco
"1932 Fell St Apt 1, San Francisco, CA, 94117",535000,0.0,1.0,4800.0,SINGLE_FAMILY,San Francisco
"1483 Sutter St Unit 401, San Francisco, CA, 94109",650000,1.0,1.0,801.0,CONDOS,San Francisco
"2195 Green St Apt 2, San Francisco, CA, 94123",1355000,2.0,2.0,1359.0,CONDOS,San Francisco
"2021 California St, San Francisco, CA, 94109",4765000,,16.0,14444.0,OTHER,San Francisco
"8 Milton St, San Francisco, CA, 94112",1700000,3.0,3.0,2140.0,SINGLE_FAMILY,San Francisco
"5625 Mission St, San Francisco, CA, 94112",1755000,,8.0,6044.0,OTHER,San Francisco
"765 Page St, San Francisco, CA, 94117",2235000,3.0,2.0,1549.0,CONDOS,San Francisco
"32 Mars St, San Francisco, CA, 94114",1451100,1.0,2.0,835.0,SINGLE_FAMILY,San Francisco
"1117 Judah St # B, San Francisco, CA, 94122",1450000,3.0,3.0,1855.0,CONDO,San Francisco
"1475 Shafter Ave, San Francisco, CA, 94124",600000,4.0,1.0,840.0,SINGLE_FAMILY,San Francisco
"2421 16th St Unit 402, San Francisco, CA, 94103",900000,2.0,2.0,1158.0,CONDOS,San Francisco
"262 Byxbee St, San Francisco, CA, 94132",1400000,3.0,1.0,1534.0,SINGLE_FAMILY,San Francisco
"77 Ottawa Ave, San Francisco, CA, 94112",835000,2.0,1.0,1300.0,SINGLE_FAMILY,San Francisco
"2790 19th Ave Unit 21, San Francisco, CA, 94132",995000,3.0,2.0,1460.0,CONDOS,San Francisco
"1916 Mason St, San Francisco, CA, 94133",1125000,3.0,1.0,1003.0,CONDOS,San Francisco
"318 Duncan St Apt 1, San Francisco, CA, 94131",2250000,3.0,3.0,1663.0,CONDOS,San Francisco
"65 Cumberland St, San Francisco, CA, 94110",1710000,3.0,1.0,1451.0,CONDOS,San Francisco
"339 Jersey St, San Francisco, CA, 94114",1510000,2.0,2.0,1283.0,SINGLE_FAMILY,San Francisco
"227 Arleta Ave, San Francisco, CA, 94134",950000,3.0,1.0,1158.0,SINGLE_FAMILY,San Francisco
"2500 Pacific Ave, San Francisco, CA, 94115",9500000,4.0,3.0,4315.0,SINGLE_FAMILY,San Francisco
"55 Norwich St, San Francisco, CA, 94110",1100000,2.0,1.0,915.0,CONDOS,San Francisco
"4606 18th St, San Francisco, CA, 94114",895000,1.0,1.0,,CONDO,San Francisco
"1414-1416 36th Ave, San Francisco, CA, 94122",1725000,4.0,2.0,2250.0,MULTI_FAMILY,San Francisco
"960 Market St Unit 201, San Francisco, CA, 94102",599000,1.0,1.0,614.0,CONDOS,San Francisco
"153 Lower Ter, San Francisco, CA, 94114",1074000,1.0,1.0,,CONDOS,San Francisco
"1959 19th Ave, San Francisco, CA, 94116",1460000,5.0,4.0,2082.0,SINGLE_FAMILY,San Francisco
"66 Landers St, San Francisco, CA, 94114",1400000,6.0,7.0,4800.0,OTHER,San Francisco
"929 Bush St Apt 1, San Francisco, CA, 94109",550000,1.0,1.0,,SINGLE_FAMILY,San Francisco
"168 Clara St, San Francisco, CA, 94107",350000,,,,LAND,San Francisco
"154 Lomita Ave, San Francisco, CA, 94122",1750000,3.0,2.0,2007.0,SINGLE_FAMILY,San Francisco
"36 Rebecca Ln, San Francisco, CA, 94124",679000,2.0,2.0,1255.0,SINGLE_FAMILY,San Francisco
"1621 Shafter Ave, San Francisco, CA, 94124",601000,0.0,,1944.0,SINGLE_FAMILY,San Francisco
"1165-1167 Kearny St, San Francisco, CA, 94133",958000,6.0,3.0,2008.0,MULTI_FAMILY,San Francisco
"301 Crescent Ct Apt 3208, San Francisco, CA, 94134",638000,2.0,2.0,892.0,CONDO,San Francisco
"289 Frederick St, San Francisco, CA, 94117",3425000,4.0,2.0,2387.0,SINGLE_FAMILY,San Francisco
"119 Corwin St Apt 3, San Francisco, CA, 94114",935000,2.0,1.0,,CONDOS,San Francisco
"3114 Clay St Apt 3, San Francisco, CA, 94115",850000,1.0,1.0,850.0,SINGLE_FAMILY,San Francisco
"1218 25th Ave, San Francisco, CA, 94122",1425000,6.0,5.0,4137.0,MULTI_FAMILY,San Francisco
"2666 Pine St # 6, San Francisco, CA, 94115",1298000,3.0,2.0,1774.0,CONDO,San Francisco
"1820 Vallejo St Apt 103, San Francisco, CA, 94123",1511250,3.0,2.0,1480.0,CONDOS,San Francisco
"88 King St Unit 507, San Francisco, CA, 94107",1160000,2.0,2.0,1116.0,CONDOS,San Francisco
"545 Leavenworth St Apt 7, San Francisco, CA, 94109",635000,1.0,2.0,935.0,CONDOS,San Francisco
"1101 Green St Unit 1702, San Francisco, CA, 94109",1200000,1.0,1.0,931.0,CONDOS,San Francisco
"1760 Dolores St, San Francisco, CA, 94110",2100000,2.0,2.0,,SINGLE_FAMILY,San Francisco
"2200 Market St Apt 202, San Francisco, CA, 94114",840000,1.0,1.0,847.0,CONDOS,San Francisco
"2823 Pierce St, San Francisco, CA, 94123",1115000,1.0,1.0,,CONDOS,San Francisco
"2440 Pacific Ave, San Francisco, CA, 94115",27500000,8.0,6.0,12027.0,SINGLE_FAMILY,San Francisco
"40 Gambier St, San Francisco, CA, 94134",1200000,4.0,2.0,1502.0,SINGLE_FAMILY,San Francisco
"1760 Great Hwy, San Francisco, CA, 94122",4300000,,,3230.0,MULTI_FAMILY,San Francisco
"2888 Harrison St, San Francisco, CA, 94110",1220000,,2.0,2900.0,MULTI_FAMILY,San Francisco
"150 Eureka St Unit 401, San Francisco, CA, 94114",2180000,3.0,2.0,1900.0,CONDOS,San Francisco
"631 Folsom St Apt 7B, San Francisco, CA, 94107",895050,2.0,2.0,1054.0,CONDOS,San Francisco
"1089 Clayton St, San Francisco, CA, 94117",2400000,3.0,2.0,1655.0,SINGLE_FAMILY,San Francisco
"4139 20th St, San Francisco, CA, 94114",1550000,2.0,1.0,1232.0,CONDOS,San Francisco
"122-124 Banks St, San Francisco, CA, 94110",1585000,5.0,2.0,,MULTI_FAMILY,San Francisco
"41 Vista Verde Ct, San Francisco, CA, 94131",1550000,3.0,2.0,1800.0,SINGLE_FAMILY,San Francisco
"735 France Ave, San Francisco, CA, 94112",1150000,3.0,2.0,1396.0,SINGLE_FAMILY,San Francisco
"60 Rausch St Apt 211, San Francisco, CA, 94103",950000,2.0,1.0,1395.0,CONDOS,San Francisco
"546 46th Ave, San Francisco, CA, 94121",1400000,2.0,1.0,1594.0,SINGLE_FAMILY,San Francisco
"2780 19th Ave Unit 61, San Francisco, CA, 94132",1050000,3.0,2.0,1460.0,CONDOS,San Francisco
"310 Pierce St, San Francisco, CA, 94117",1300000,3.0,1.0,1426.0,CONDOS,San Francisco
"215 Church St, San Francisco, CA, 94114",2105000,8.0,2.0,5285.0,MULTI_FAMILY,San Francisco
"3935 25th St, San Francisco, CA, 94114",1695000,3.0,2.0,1188.0,CONDOS,San Francisco
"715 Victoria St, San Francisco, CA, 94127",1950000,3.0,3.0,2473.0,SINGLE_FAMILY,San Francisco
